[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[01:15:57.380 --> 01:15:58.782]  You understand that, Stelter?
[01:16:01.892 --> 01:16:03.413]  I've only watched that several hundred times.
[01:16:04.314 --> 01:16:11.058]  And I laugh every time, but I also... There's something to... If Brian Stelter had absolute power, would you and your family survive?
[01:16:11.078 --> 01:16:11.558]  Of course not.
[01:16:11.758 --> 01:16:12.119]  You wouldn't.
[01:16:12.139 --> 01:16:13.219]  You'd be... Of course not.
[01:16:13.339 --> 01:16:14.020]  And neither would mine.
[01:16:14.380 --> 01:16:17.342]  So there's a lot that's true about what you said.
[01:16:17.522 --> 01:16:18.863]  How did you perceive that?
[01:16:18.963 --> 01:16:20.084]  The rest of us just made fun of him.
[01:16:20.524 --> 01:16:25.027]  Now, once they started the censorship and the platforming... Remember back then, they would deny it.
[01:16:25.127 --> 01:16:27.088]  Oh yeah, we're taking people off air, but it's not censorship.
[01:16:27.368 --> 01:16:28.629]  Now they admit, no, it's censorship.
[01:16:28.649 --> 01:16:29.470]  We're doing this for your own good.
[01:16:30.390 --> 01:16:36.315]  So he was really the face of that, and he was working for the head of CNN that was really in charge of it.
[01:16:36.355 --> 01:16:37.036]  It later came out.
[01:16:37.776 --> 01:16:39.558]  CNN currently is not in charge.
[01:16:39.578 --> 01:16:44.742]  They've handed it completely over to the Justice Department to quarterback as Congress reported a few months ago with the documents.
[01:16:45.103 --> 01:16:54.751]   But at the time, Brian Stelter and his mini-me, Oliver Darcy, his Popeye the We're going around calling up and harassing my sponsors, taking sponsors away.
[01:16:54.771 --> 01:17:03.760]  And they were going around and organizing big tech to take, not just myself, but many other people offline.
[01:17:04.601 --> 01:17:06.323]  And so he was destroying our free speech.
[01:17:06.363 --> 01:17:07.464]  He was taking our sponsors.
[01:17:07.484 --> 01:17:07.824]  But it's crazy.
[01:17:07.844 --> 01:17:10.927]  I just want to restate, you are not promoting race hatred.
[01:17:10.947 --> 01:17:11.948]  You're against race hatred.
[01:17:11.968 --> 01:17:13.309]  You never have promoted that, ever.
[01:17:15.445 --> 01:17:20.289]  Not promoting violence, you've never called for violence, and you've never even called for breaking the law!
[01:17:20.749 --> 01:17:25.072]  And so that's why there's so much anger there, because I remember the day I did that and a few other clips that went viral.
[01:17:26.213 --> 01:17:36.541]  I showed all the stuff he was doing, but then the media tapped me and just clicked it out of context, but still it reverberated with people, because people were sick of the corporate legacy media.
[01:17:36.901 --> 01:17:38.482]  So people say, well, why is he so angry?
[01:17:38.522 --> 01:17:47.728]   Well, it's because he's literally trying to take us off air, literally taking our sponsors, I mean, the equivalent of the Vikings a thousand years ago in England pulling up and burning a village down.
[01:17:48.549 --> 01:17:55.675]  And so there he is, all sweet and liberal and cackling and laughing, but he's really an agent of anti-American totalitarianism.
[01:17:56.456 --> 01:18:01.440]  And so he was the front man of that, and I wanted to just simply say, I see you, I know what you're doing.
[01:18:02.061 --> 01:18:04.423]  So people see it out of context and think, why are you being so mean to him?
[01:18:04.443 --> 01:18:10.067]  Well, I mean, he's literally trying to destroy my free speech, take me off air, and put my family on the street.
[01:18:10.388 --> 01:18:11.349]  So I'm pissed off at him.
[01:18:12.048 --> 01:18:23.633]  What's interesting is, and I don't know if you want me to reveal this, but we had dinner in our barn last night, and there were some drinks, and after dinner, you and my producer called Stelter on the phone.
[01:18:23.893 --> 01:18:26.154]  And it was on speaker, so I listened to it.
[01:18:26.534 --> 01:18:34.377]  What was so interesting was, you know, you've been very clear in a very direct, pretty masculine way, I would say, about how you feel about Brian Stelter.
[01:18:34.397 --> 01:18:39.659]  There's not a lot of confusion about your views on Stelter after a clip like that, which doubtless he's seen because he Googles himself compulsively.
[01:18:40.837 --> 01:18:43.462]  He was very kind of syrupy sweet with you.
[01:18:44.464 --> 01:18:46.328]  And that's why I was sarcastic and told him I wanted to date him.
[01:18:47.109 --> 01:18:47.450]  You did.
[01:18:47.770 --> 01:18:47.991]  Yeah.
[01:18:48.271 --> 01:18:53.240]  In fact, the exact line that you had was, Brian, I'm not usually gay, but I want you.
[01:18:54.167 --> 01:18:57.529]  And he seemed a little bit, I'm not saying he's open to it or whatever, but he wasn't shocked by it.
[01:18:57.549 --> 01:18:59.409]  And he's like, give me your phone number, give me, you know, I'll talk to you.
[01:18:59.429 --> 01:18:59.750]  Yeah!
[01:18:59.850 --> 01:19:01.670]  And then he hit your producer up, please give me his number right now.
[01:19:01.830 --> 01:19:02.811]  Yeah, that was interesting.
[01:19:02.931 --> 01:19:04.212]  But I was being silly with him.
[01:19:04.832 --> 01:19:07.073]  But there was also a line, he goes, oh, Alex Jones.
[01:19:08.193 --> 01:19:09.494]  I said, I want you to call my show.
[01:19:09.934 --> 01:19:11.195]  He said, oh, you still got a show?
[01:19:11.815 --> 01:19:13.716]  And I went, no, you're the one that doesn't have a show.
[01:19:15.716 --> 01:19:17.198]  Sorry, I should've told the other line.
[01:19:17.218 --> 01:19:19.862]  It's so boorish to, like, recount conversations people were with you.
[01:19:19.882 --> 01:19:20.422]  It was funny, though.
[01:19:20.462 --> 01:19:25.328]  But, you said, you know, you're off TV now, but you were a real star.
[01:19:25.388 --> 01:19:27.331]  I mean, not on CNN, but on my show.
[01:19:29.241 --> 01:19:29.741]  That's so good!
[01:19:30.302 --> 01:19:38.987]  Anyway, but what was interesting was, if someone had talked about you that way, and then called you late night after a couple drinks, you'd say, you know, up yours, pal.
[01:19:39.647 --> 01:19:40.328]  You know what I mean?
[01:19:40.368 --> 01:19:41.909]  Like, buzz off, or I'm not taking your call.
[01:19:41.949 --> 01:19:43.290]  But he kind of sucked up to you.
[01:19:43.330 --> 01:19:46.792]  That's a very weird, passive-aggressive posture.
[01:19:46.872 --> 01:19:51.795]  Well, I've said a lot of really mean things about him and attacked him, and when I watch the clips out of context, I feel guilty.
[01:19:52.355 --> 01:19:54.377]  But he was going around with Oliver Darcy.
[01:19:54.397 --> 01:19:57.500]  They would brag on Twitter and literally hitting hundreds of my sponsors.
[01:19:57.841 --> 01:19:59.222]  And I say hundreds, I'd have like 20.
[01:19:59.282 --> 01:19:59.883]  They'd take them all.
[01:20:00.123 --> 01:20:01.224]  I get 20 more, take them all.
[01:20:01.385 --> 01:20:02.185]  This went on for years.
[01:20:02.466 --> 01:20:04.408]  So you go get a sponsor, you get them, they're doing great.
[01:20:04.768 --> 01:20:05.789]  He takes it away from you.
[01:20:06.009 --> 01:20:11.936]  And then he brags that him and Darcy... I was taken off Twitter, not for this Sandy Hook stuff that came later that they focused on.
[01:20:12.296 --> 01:20:12.757]  Look it up.
[01:20:13.237 --> 01:20:13.557]  They had...
[01:20:14.850 --> 01:20:18.134]  The former head of Twitter and the lawyer on Joe Rogan about four years ago.
[01:20:18.674 --> 01:20:20.136]  And Joe said, why did you ban Alex Jones?
[01:20:20.176 --> 01:20:22.178]  Lawyer goes, OK, let me open my clipboard.
[01:20:22.479 --> 01:20:23.239]  She goes, here's why.
[01:20:23.680 --> 01:20:25.462]  He was mean to Oliver Darcy.
[01:20:25.902 --> 01:20:27.024]  So I'm at the Capitol.
[01:20:27.044 --> 01:20:28.405]  They're having censorship hearings.
[01:20:28.826 --> 01:20:29.867]  Sundar Pichai is there.
[01:20:29.907 --> 01:20:30.928]  I just confronted him in the hall.
[01:20:31.088 --> 01:20:31.709]  Who runs Google.
[01:20:31.749 --> 01:20:33.010]  And you guys are welcome to use that if you want.
[01:20:33.451 --> 01:20:34.732]  And then that was at the Senate.
[01:20:35.453 --> 01:20:39.015]  So now they were going over to a house meeting, and there's Oliver Darcy in the line.
[01:20:39.055 --> 01:20:39.735]  He gets to get in.
[01:20:39.755 --> 01:20:42.256]  I don't even get into a hearing where they then attack me.
[01:20:42.577 --> 01:20:45.258]  They'd attack me at the last hearing, but I don't get to face my accuser.
[01:20:45.778 --> 01:20:46.639]  And so I get in his face.
[01:20:46.659 --> 01:20:49.020]  I don't threaten him, but I say, you are an evil man.
[01:20:49.060 --> 01:20:53.902]  You're un-American, coming after my free speech, harassing my sponsors, trying to get me off the internet.
[01:20:54.162 --> 01:20:55.723]  And the last place I was on was Twitter.
[01:20:56.103 --> 01:20:56.744]  They'd held out.
[01:20:57.844 --> 01:21:00.026]  And so, Jack Dorsey had held out.
[01:21:00.707 --> 01:21:04.550]  And so, Jack Dorsey admitted, well, the last straw was, I bullied Oliver Darcy.
[01:21:05.410 --> 01:21:07.112]  And so, that's why I was deplatformed.
[01:21:07.432 --> 01:21:09.073]  Elon Musk thinks it was the Sandy Hook thing.
[01:21:09.994 --> 01:21:15.458]  Do you know that in most cultures, bullying Oliver Darcy would be like a rite of passage?
[01:21:15.858 --> 01:21:17.520]  Like, that would be a positive good, right?
[01:21:18.000 --> 01:21:18.780]  Well, here's the thing.
[01:21:18.941 --> 01:21:23.044]  He's literally on Twitter, taking my sponsors, calling for me to be silenced.
[01:21:23.504 --> 01:21:27.245]  So he's been attacking me, attacking my speech and my living.
[01:21:27.725 --> 01:21:33.227]  And then all I do is shove a camera in his face while he's waiting to go into the hearing for five minutes and say, man, you are un-American.
[01:21:33.547 --> 01:21:35.248]  You, you, you got some evil eyes.
[01:21:35.808 --> 01:21:37.729]  And I said, you really look like a piece of slime.
[01:21:37.749 --> 01:21:38.409]  I mean, I told him that.
[01:21:39.049 --> 01:21:39.810]  Fair, fair.
[01:21:40.291 --> 01:21:49.439]  And so the point is, he's a man, he's a quote, journalist in the arena, he goes around harassing people and stalking them financially and in their free speech.
[01:21:50.100 --> 01:21:56.987]  He'd already bragged that he'd gotten me taken off all this other stuff and that he was instrumental, which he was, and that he can't take me saying, man, you're a jerk.
[01:21:58.863 --> 01:22:00.764]  So this is the classic posture.
[01:22:01.465 --> 01:22:05.827]  You know, stop hitting me, he says, as he fires a gun through your windshield.
[01:22:06.048 --> 01:22:06.808]  Exactly.
[01:22:06.848 --> 01:22:08.529]  They can dish it out, but they can't take it.
[01:22:08.749 --> 01:22:10.190]  So what's the effect on you?
[01:22:10.590 --> 01:22:17.595]  And I don't mean even the lawsuits against you, and there was an effort to criminally indict you, I guess, just for having bad opinions or whatever.
[01:22:17.615 --> 01:22:18.495]  A bunch of them, actually.
[01:22:18.515 --> 01:22:19.036]  A bunch of them, yeah.
[01:22:19.056 --> 01:22:22.418]  I've had four grand juries I've had to respond to, subpoenas.
[01:22:22.918 --> 01:22:32.222]   When you've committed no crime, you're like one of the only people in the media who's not Ginning up race hatred, I would say, just to be totally clear, because it's very common to do that.
[01:22:32.262 --> 01:22:32.862]  You don't do that.
[01:22:33.682 --> 01:22:39.323]  So anyway, and then, of course, this billion-dollar judgment against you for having naughty opinions, which is insane.
[01:22:40.283 --> 01:22:41.003]  I'm not even talking about that.
[01:22:41.243 --> 01:22:51.545]  I just mean, what's it like to spend 25, 30 years connecting the dots and seeing this slow-moving storm come toward the country that you were born in?
[01:22:52.105 --> 01:22:54.926]  What effect does it have on you?
[01:22:55.146 --> 01:23:06.874]   Since you use the analogy of a storm, It'd be like if I was 100 years ago before they had radar, and I've read about the famous flood 120-something years ago in Galveston that killed tens of thousands of people.
[01:23:06.934 --> 01:23:07.635]  Yeah, the hurricane, yeah.
[01:23:07.675 --> 01:23:08.195]  Yeah, the hurricane.
[01:23:08.215 --> 01:23:32.204]   They didn't have radar, and so they didn't know, but there are the fishermen out there catching shrimp or whatever, and then all of a sudden here comes basically a tidal wave, and If I was one of those fishermen, and I knew my children and my wife were on shore at school or work or whatever, and here comes a 40, 50 foot wave, I know it's about to kill them, I would not be thinking about myself watching this giant wave come in.
[01:23:32.244 --> 01:23:33.145]  I'd go, oh my God.
[01:23:34.441 --> 01:23:37.602]  My wife and kids are over there, and so it's not that I'm a hero.
