[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[01:29:30.864 --> 01:29:34.205]  Some of the best-selling products are 50% off as well.
[01:29:34.205 --> 01:29:44.090]  And we got a very limited supply, very limited run in, because I told the manufacturer, whatever ingredients you can get, whenever you have enough to make some, even if it's a smaller run, do it.
[01:29:44.090 --> 01:29:48.933]  We got a very small run in of the products that's been sold out, and that is RainForce Ultra.
[01:29:48.933 --> 01:29:49.833]  It's 25% off at InfoWareStore.com.
[01:29:51.294 --> 01:29:54.556]  That's going to end up selling out by Monday as well at current sales rates.
[01:29:54.556 --> 01:29:58.197]  So get great products and support the M4 at m4store.com.
[01:29:58.197 --> 01:30:02.219]  I am taping this update on the morning of Friday, October 22nd, 2021.
[01:30:02.219 --> 01:30:16.887]  Listeners who've already tried and really seen the powerful effects of RainForce Ultra should be excited to know that we've got a limited supply of it in stock, but it'll be sold out at current sales rates by Monday morning.
[01:30:17.387 --> 01:30:21.828]  Despite that fact, we're still offering a major discount of 25% off.
[01:30:21.828 --> 01:30:23.969]  It is an amazing nootropic.
[01:30:23.969 --> 01:30:36.712]  I went to one of the top labs in the country and I said I want very powerful, quick-acting, extremely clean nootropic that wears off quick because I want to be able to take it, if I've got to work till 10 at night, take it at 7 and for it to wear off by 10.
[01:30:37.492 --> 01:30:41.493]  And that's exactly what they did with BrainForce Ultra.
[01:30:41.493 --> 01:30:44.154]  Now we have other great products like TurboForce that last for 10 hours.
[01:30:44.154 --> 01:30:45.115]  It's a different formula.
[01:30:45.115 --> 01:30:46.455]  It's over-the-top powerful.
[01:30:46.455 --> 01:30:47.616]  So strong I can't even take it.
[01:30:47.616 --> 01:30:48.996]  By the way, it's sold out right now.
[01:30:48.996 --> 01:30:51.717]  But BrainForce Ultra is really something special.
[01:30:51.717 --> 01:30:53.798]  It's 25% off, limited supply.
[01:30:53.798 --> 01:30:55.398]  We'll sell out early next week.
[01:30:55.398 --> 01:30:56.739]  Infowarstore.com.
[01:30:58.899 --> 01:31:03.202]  Well, Commander, here was an important message to humanity.
[01:31:03.202 --> 01:31:11.529]  I have decided that all of you will take a special injection so that you will be safe.
[01:31:11.529 --> 01:31:15.071]  But the injection is not ready yet.
[01:31:15.071 --> 01:31:23.658]  And so, I need all of you to stay indoors for the next 15 days to flatten the curve.
[01:31:24.438 --> 01:31:32.340]  I also need you to wear masks, and I also need you to only shop at megacorporations.
[01:31:32.340 --> 01:31:42.782]  That way we can consolidate control and bankrupt the world economy, leaving companies that only I own profitable.
[01:31:42.782 --> 01:31:44.763]  You will then be my slaves.
[01:31:46.332 --> 01:31:50.634]  And then you'll get that special shot of venom from Cobra.
[01:31:50.634 --> 01:31:58.098]  It will remove your immune system, so you'll be dependent on me for the rest of your miserable lives.
[01:31:58.098 --> 01:32:02.800]  You deserve a deep, restful sleep with Knockout by InfoWarsLife.
[01:32:02.800 --> 01:32:13.225]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:32:14.125 --> 01:32:18.930]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:32:18.930 --> 01:32:27.317]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:32:27.317 --> 01:32:35.044]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[01:32:35.044 --> 01:32:37.026]  Wake up refreshed and take on the day.
[01:32:37.466 --> 01:32:45.410]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:32:45.410 --> 01:32:49.092]  Get the sleep you deserve and experience the power of knockout.
[01:32:49.092 --> 01:32:53.475]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[01:32:53.475 --> 01:33:00.959]  That's InfoWarsLife.com.
[01:33:00.959 --> 01:33:03.620]  You're listening to the Alex Jones Show.
[01:33:18.372 --> 01:33:19.513]  Big Brother.
[01:33:19.513 --> 01:33:21.294]  Mainstream media.
[01:33:21.294 --> 01:33:23.215]  Government cover-ups.
[01:33:23.215 --> 01:33:24.876]  You want to stop tyranny?
[01:33:24.876 --> 01:33:26.657]  Well, so does he.
[01:33:26.657 --> 01:33:28.978]  Live from Austin, Texas.
[01:33:28.978 --> 01:33:31.419]  Broadcasting worldwide.
[01:33:31.419 --> 01:33:33.700]  It's Alex Jones.
[01:33:33.700 --> 01:33:38.203]  Look, I don't want to sound arrogant here because that's not what this is.
[01:33:40.917 --> 01:33:42.258]  This is just a fact.
[01:33:42.258 --> 01:33:44.579]  I know how to defeat the globalists.
[01:33:44.579 --> 01:33:46.879]  It's very easy to defeat them.
[01:33:46.879 --> 01:33:53.182]  But because we've got a real deficit in courage, we are going to lose our ass, and it's going to be absolutely horrible.
[01:33:53.182 --> 01:33:57.084]  And it's also going to blow up in the globalist's face and bring them down in the end.
[01:33:57.084 --> 01:34:00.985]  But it's going to be biblical, and it's going to look just like Armageddon.
[01:34:00.985 --> 01:34:04.607]  Funny that's actually coming true with the Mark of the Beast and all of it.
[01:34:04.607 --> 01:34:10.249]  So no matter who you are, a Christian or not, mainline analyst, even for the bad guy side,
[01:34:11.587 --> 01:34:15.188]  Say they're not going to make it through this.
[01:34:15.188 --> 01:34:16.329]  So then why are they doing it?
[01:34:16.329 --> 01:34:18.109]  Why don't they stop?
[01:34:18.109 --> 01:34:19.770]  It's because it's a spiritual situation.
[01:34:19.770 --> 01:34:25.432]  So let me just be very clear here before I get back into all this news and information.
[01:34:25.432 --> 01:34:28.173]  Then I've got some huge news next segment dealing with Senator Rand Paul.
[01:34:31.914 --> 01:34:32.875]  I'm not stupid.
[01:34:32.875 --> 01:34:34.416]  You're not stupid.
[01:34:34.416 --> 01:34:35.938]  We know what's going on.
[01:34:35.938 --> 01:34:40.862]  Trump's sons are smart and they both know exactly what's going on.
[01:34:40.862 --> 01:34:46.026]  I'll leave it at that.
[01:34:46.026 --> 01:34:47.728]  Trump knows what's going on now.
[01:34:47.728 --> 01:34:52.772]  He didn't fully before, but he definitely understands things now because he's gotten to experience it.
[01:34:57.489 --> 01:35:00.311]  Senator Paul, they've tried to kill him repeatedly.
[01:35:00.311 --> 01:35:01.232]  He knows what's going on.
[01:35:01.232 --> 01:35:02.613]  Scalise, they tried to kill him.
[01:35:02.613 --> 01:35:03.934]  He knows what's going on.
[01:35:03.934 --> 01:35:05.696]  Jim Jordan, he knows what's going on.
[01:35:05.696 --> 01:35:07.697]  Devin Nunes, he knows what's going on.
[01:35:07.697 --> 01:35:09.158]  Ted Cruz knows what's going on.
[01:35:09.158 --> 01:35:11.400]  Josh Hawley knows what's going on.
[01:35:11.400 --> 01:35:13.362]  Senator Cotton knows what's going on.
[01:35:13.362 --> 01:35:21.368]  And even Mnuchin, who's had his problems, now really gets how evil the Democrats are and is like, this is so out of control.
[01:35:21.368 --> 01:35:23.010]  You people are so nuts.
[01:35:23.010 --> 01:35:24.271]  I'm going to be an American Independent.
[01:35:24.271 --> 01:35:25.772]  Get away from me because they're threatening him.
[01:35:28.988 --> 01:35:36.593]  And there are a lot of people in the government that go along with the system to be survivors, but they don't like what's happening.
[01:35:36.593 --> 01:35:38.655]  Joe Biden is a front man.
[01:35:38.655 --> 01:35:41.617]  He knows he's a placeholder to get the blame for all the horrible stuff that happens.
[01:35:41.617 --> 01:35:43.898]  He knows his approval rating will go down to almost zero.
[01:35:43.898 --> 01:35:47.200]  He knows he stole the election.
[01:35:47.200 --> 01:35:49.402]  He volunteered for this.
[01:35:49.402 --> 01:35:50.703]  It's why he was put in this position.
[01:35:50.703 --> 01:35:52.484]  He's a high-level insider.
[01:35:52.484 --> 01:35:53.565]  He's not just a puppet.
[01:35:53.565 --> 01:35:57.808]  He runs nothing, but he is an empty vessel that does what he's told.
[01:35:59.492 --> 01:36:01.555]  But he talks to the people that are at the top of it.
[01:36:01.555 --> 01:36:02.316]  They like that.
[01:36:02.316 --> 01:36:05.401]  They like people like Biden.
[01:36:05.401 --> 01:36:06.622]  And they're making their move.
[01:36:06.622 --> 01:36:09.206]  So of course they're unpopular.
[01:36:09.206 --> 01:36:13.652]  They know that a foreign army attacking and taking over and conquering people is going to be unpopular.
[01:36:14.468 --> 01:36:17.771]  So conservatives go, oh, look, their approval rating's way down.
[01:36:17.771 --> 01:36:20.773]  Oh, there'll be a big landslide in the midterm.
[01:36:20.773 --> 01:36:25.638]  They're going to hype the COVID up next year, just as sure as the sun came out this morning.
[01:36:25.638 --> 01:36:28.280]  They're going to release a new deadly variant.
[01:36:28.280 --> 01:36:30.242]  I predict much, much worse than COVID.
[01:36:31.357 --> 01:36:43.202]  And they're going to have mail-in ballots again, and it doesn't matter how many votes we get, unless we stop that fraud, they are going to hold the line right where they're at.
[01:36:43.202 --> 01:36:47.464]  They can steal even more, but that would be too obvious.
[01:36:47.464 --> 01:36:50.065]  So they're going for broke.
[01:36:50.065 --> 01:36:58.029]  And we need people to do what we saw with that former head of CIA, Pentagon,
[01:36:59.244 --> 01:37:24.041]  Propaganda said on OAN last night that I aired last hour that this is a foreign group that runs people at the top of our military that are engaged in psychological warfare using deception, working with big tech and hundreds of thousands and then indirectly millions of influencers to engage in the takedown of this country.
[01:37:24.041 --> 01:37:27.504]  And again, they wrote a Time Magazine article about it six months ago bragging how they did it.
[01:37:28.843 --> 01:37:34.447]  So, I know what's going on, you know what's going on.
[01:37:34.447 --> 01:37:48.396]  The leadership that's not evil in this country, I'm saying the leadership that isn't evil, most of it is evil, understand what's going on and they just don't know if the American people got what it takes to really wake up and put a stop to this.
[01:37:48.396 --> 01:37:55.040]  They also know the globalists are capable of releasing a new bioweapon as soon as we start trying to arrest them.
[01:37:55.040 --> 01:37:56.381]  And so here's what I say we do.
[01:37:58.117 --> 01:38:08.005]  We stop all the tactics, and we stop all the Machiavellian coulda, shoulda, woulda, and all the overthinking this, and we say, justice be done, may the heavens fall.
[01:38:08.005 --> 01:38:18.493]  I'm gonna do the right thing, and I'm gonna go after the globalists, and I'm gonna expose them, and I'm gonna call for their arrest, and their prosecution, and their imprisonment, or their execution, legally and lawfully, once adjudication is done.
[01:38:19.554 --> 01:38:25.416]  And I'm not going to stop going after them, and I'm not going to compromise, and I'm not going to back down, and I'm going to go after them.
[01:38:25.416 --> 01:38:31.518]  And I'm not going to sit there and worry about what happens to me, or my family, or anything else, because we're going to lose it all if we don't.
[01:38:31.518 --> 01:38:36.820]  Besides, God's watching, and that's really all that matters.
[01:38:36.820 --> 01:38:40.922]  And I'm going to say this again to all the men on the fence out there.
[01:38:40.922 --> 01:38:47.444]  I know discretion is the better part of valor, supposedly, but not at a end-of-cycle type point that we're at right now.
[01:38:48.780 --> 01:38:52.383]  We've gotten here by a bunch of candy-ass behavior.
[01:38:52.383 --> 01:38:54.624]  We've gotten here by going along with the mainstream media.
[01:38:54.624 --> 01:38:57.646]  We've gotten here by being afraid of the power structure.
[01:38:57.646 --> 01:38:59.888]  The power structure is insane.
