[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[01:31:30.286 --> 01:31:34.808]  My daughter uses the Bubblegum Fluoride 3 toothpaste.
[01:31:34.808 --> 01:31:38.271]  I've used the Supermail Vitality, a host of other products.
[01:31:38.271 --> 01:31:40.292]  So thank you so much for that as well.
[01:31:40.292 --> 01:31:42.873]  Brother, you're thanking me for buying the products and keeping us on air.
[01:31:42.873 --> 01:31:43.614]  I'm thanking you.
[01:31:43.614 --> 01:31:50.058]  But yes, this is the ultimate bone broth formula with the turmeric, the chaga mushroom, the true bone broth.
[01:31:50.058 --> 01:31:50.879]  It is next level.
[01:31:50.879 --> 01:31:51.459]  It really is good.
[01:31:51.459 --> 01:31:51.999]  So thank you.
[01:31:51.999 --> 01:31:53.940]  I feel great since I've been taking it.
[01:31:53.940 --> 01:31:54.321]  Thank you.
[01:31:59.719 --> 01:32:04.320]  It's never been easy to figure out the essentials of a new supplement routine.
[01:32:04.320 --> 01:32:12.043]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[01:32:12.043 --> 01:32:19.685]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old InfoWarriors alike.
[01:32:19.685 --> 01:32:26.207]  With the 8-Pack Power Stack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
[01:32:27.483 --> 01:32:40.887]  Just take the Wake Up and Work or Rest and Recover Packs each day for quick, easy-to-use, and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge, stacks of bottles, and complicated routine.
[01:32:40.887 --> 01:32:45.369]  Featuring eight different formulas for a total take on your health and wellness.
[01:32:45.369 --> 01:32:50.450]  You can find what you like and get even more powerful versions in the store.
[01:32:50.450 --> 01:32:56.532]  Head to InfoWarsStore.com and check out 8-Pack Power Stack today and jumpstart your supplement routine.
[01:33:01.815 --> 01:33:19.286]  You're listening to The Alex Jones Show.
[01:33:19.286 --> 01:33:24.529]  Live, raw, and unfiltered, it's The Alex Jones Show.
[01:33:28.112 --> 01:33:43.245]  Well, what's happening with globalist candidates losing all over the world, the biggest victories yet, over a third of the seats in Europe in the EU Parliament won by anti-globalists that want to end the EU.
[01:33:43.245 --> 01:33:47.769]  That's despite all the media censorship, all the election fraud.
[01:33:47.769 --> 01:33:49.531]  It's huge.
[01:33:49.531 --> 01:33:55.656]  Because you understand that only a third in the EU Parliament of the 40 states that are in it
[01:33:57.003 --> 01:34:00.644]  Are up every two years.
[01:34:00.644 --> 01:34:05.165]  So there was only a third of the seats that were up.
[01:34:05.165 --> 01:34:09.226]  And most countries only had 10-15% Eurosceptics before.
[01:34:09.226 --> 01:34:12.827]  Now it's all over 30%.
[01:34:12.827 --> 01:34:18.168]  That means, in some countries, Eurosceptics got 70%.
[01:34:18.168 --> 01:34:21.149]  In countries like the UK, they got 35% or so.
[01:34:21.149 --> 01:34:21.429]  I mean,
[01:34:25.137 --> 01:34:27.779]  This spells defeat.
[01:34:27.779 --> 01:34:29.720]  Took two rounds.
[01:34:29.720 --> 01:34:34.623]  The Nationalists, Anti-Globalists, have almost complete control of Italy now.
[01:34:34.623 --> 01:34:36.564]  Merkel's lost seven elections.
[01:34:36.564 --> 01:34:39.426]  By incredible fraud, she stayed in control.
[01:34:39.426 --> 01:34:41.767]  But her party gets like 10% of the vote now.
[01:34:41.767 --> 01:34:44.469]  Her party's dead.
[01:34:44.469 --> 01:34:47.111]  It's all on EuropeWars.com.
[01:34:47.111 --> 01:34:48.752]  It's all on NewsWars.com.
[01:34:48.752 --> 01:34:52.454]  We've got multiple reporters paid in Europe.
[01:34:54.275 --> 01:34:58.279]  We have multiple reporters paid in England.
[01:34:58.279 --> 01:35:00.340]  We have reporters here in the U.S.
[01:35:00.340 --> 01:35:08.948]  We are fighting hard thanks to your financial support and buying the products at MFORWARESTORE.COM and MFORWARESLIFE.COM.
[01:35:08.948 --> 01:35:12.471]  We have huge specials that are running right now at MFORWARESTORE.COM.
[01:35:12.471 --> 01:35:14.593]  Forty is the lowest sale.
[01:35:14.593 --> 01:35:16.014]  Sixty is the highest sale.
[01:35:17.011 --> 01:35:24.917]  We've never done some of these specials on things like bodies, ultimate turmeric formula, 95% curcuminoid.
[01:35:24.917 --> 01:35:26.959]  But I want you to experience how amazing it is.
[01:35:26.959 --> 01:35:34.605]  8-pack PowerStack, which is 13 capsules split into two different AM, PM packets you take, total full spectrum.
[01:35:34.605 --> 01:35:37.287]  It's 50% off out of the gates.
[01:35:37.287 --> 01:35:39.769]  X2, X3, 50% off.
[01:35:39.769 --> 01:35:46.134]  BrainForce Plus, it's all there at infowarestore.com, and that's how we finance this operation.
[01:35:47.995 --> 01:36:12.537]  But you know, even more important than the listeners, even more important than the AM and FM and TV affiliates, even more important than me or Owen Schroer or this incredible crew that does a kick-butt job and doesn't get enough credit from me, it comes down to God.
[01:36:12.537 --> 01:36:13.378]  We're on a planet
[01:36:14.574 --> 01:36:24.900]  In the middle of gorgeous space, way out on the edge of a little galaxy, and Hubble telescope has photographed 500 billion plus galaxies.
[01:36:24.900 --> 01:36:33.825]  And that's a 19, early 1990s telescope.
[01:36:33.825 --> 01:36:39.009]  They got new ones up there, they won't let us see what they're getting.
[01:36:39.009 --> 01:36:41.150]  I mean, we are little babies.
[01:36:42.776 --> 01:36:48.806]  But God told us 2,000 years ago there'll be a world government, there'll be a cashless system to buy and sell.
[01:36:48.806 --> 01:36:50.128]  It's only going to last a while.
[01:36:50.128 --> 01:36:51.049]  You've been given free will.
[01:36:52.389 --> 01:36:56.091]  I have to do this to you, but if you make the right choice, I'm waiting on the other side.
[01:36:56.091 --> 01:37:11.298]  I don't want to do this to you, but you've been given full consciousness as a little g. The only thing an omnipresent entity like God can do is create new creatures that have the seed of the universe in them and the potentiality to do anything.
[01:37:11.298 --> 01:37:12.298]  You have free will.
[01:37:12.298 --> 01:37:18.081]  You have a piece of God in you, a seed of the universe.
[01:37:21.223 --> 01:37:27.745]  God literally, as the Bible says, God loves a sparrow of the field so much when it dies, a little bird.
[01:37:27.745 --> 01:37:29.486]  Imagine how much God loves you.
[01:37:29.486 --> 01:37:34.228]  But God isn't creating robots.
[01:37:34.228 --> 01:37:40.650]  And God already created the angels and gave them free will and a bunch of them turned against him.
[01:37:40.650 --> 01:37:43.591]  One third.
[01:37:43.591 --> 01:37:48.913]  Imagine, we're dealing with God's malfunctioning, rebelling creation that was given free will.
[01:37:50.711 --> 01:37:52.393]  And what does Lucifer want to do?
[01:37:52.393 --> 01:37:55.155]  Lucifer is jealous as hell.
[01:37:55.155 --> 01:38:14.535]  Imagine you're a 40-year-old man, and you weigh maybe 100 pounds, and it's not bad if you're small, but you know what I mean, and you're a drug addict, and you're a child molester, and you're a criminal, and then you've got a little cousin who's super handsome and super smart, and you know he's going to get this big inheritance of a billion-dollar company,
[01:38:16.121 --> 01:38:17.942]  But he's three years old.
[01:38:17.942 --> 01:38:24.063]  If you could get control of him for a month or a year, you could convince him to jump into a well and die.
[01:38:24.063 --> 01:38:26.144]  You could convince him to play in traffic.
[01:38:26.144 --> 01:38:30.846]  All you want to do is kill him because he has the inheritance.
[01:38:30.846 --> 01:38:31.826]  He has the birthright.
[01:38:31.826 --> 01:38:32.986]  You don't have it.
[01:38:32.986 --> 01:38:34.367]  You're Lucifer.
[01:38:34.367 --> 01:38:35.627]  You're really old.
[01:38:35.627 --> 01:38:38.968]  A hundred billion, trillion years old?
[01:38:38.968 --> 01:38:40.669]  Who knows?
[01:38:40.669 --> 01:38:42.969]  God gave us the whole blueprint to beat him.
[01:38:42.969 --> 01:38:43.930]  God gave us a cheat sheet.
[01:38:43.930 --> 01:38:44.930]  Listen, I want you to join me.
[01:38:46.138 --> 01:38:49.882]  But I gotta do this to you, because it's free will.
[01:38:49.882 --> 01:38:51.324]  I don't want slaves.
[01:38:51.324 --> 01:38:53.406]  I could create robots or servants all day.
[01:38:53.406 --> 01:38:55.629]  I love you so much.
[01:38:55.629 --> 01:38:57.070]  I'm putting everything I have got into you.
[01:38:58.331 --> 01:39:04.374]  Just please, please, please listen to me and just don't do these things because it'll bring you down.
[01:39:04.374 --> 01:39:09.256]  I want to be with you and God cries for all of all of us that fall to the devil.
[01:39:09.256 --> 01:39:10.417]  This is real folks.
[01:39:10.417 --> 01:39:12.058]  This whole planet is a test.
[01:39:12.058 --> 01:39:14.479]  We're such a powerful weapon system.
[01:39:14.479 --> 01:39:19.201]  If we go bad, we're way out in the corner of the universe, not just in the galaxy.
[01:39:19.201 --> 01:39:21.822]  We're like been towed way out in the middle of nowhere.
[01:39:21.822 --> 01:39:22.763]  We're the weapon folks.
[01:39:23.985 --> 01:39:28.328]  We're the... You think we're doing something now, man?
[01:39:28.328 --> 01:39:29.129]  What we already built?
[01:39:29.129 --> 01:39:31.891]  The devil can't build all this stuff.
[01:39:31.891 --> 01:39:36.495]  The devil tricks us to build it, but twist it for him.
[01:39:36.495 --> 01:39:38.376]  That's why they're so pissed.
[01:39:38.376 --> 01:39:41.338]  Because we've got their number.
[01:39:41.338 --> 01:39:43.440]  So I was thinking, during the break before last,
[01:39:47.959 --> 01:39:54.724]  I went from one building to the next, I was hurrying back over here with some articles, and I stumbled over the door frame and fell on my face.
[01:39:54.724 --> 01:40:13.476]  And when I hit my face and sprung back up, I went, we're not thanking God for globalism under attack, globalism failing everywhere, humanity starting to reignite, and then we're bitching and complaining that it's not good enough, it's not fast enough, and Trump doesn't do everything we want.
[01:40:13.476 --> 01:40:15.177]  Well, what are you doing?
[01:40:15.177 --> 01:40:15.838]  What am I doing?
[01:40:17.398 --> 01:40:18.979]  But it hit me.
[01:40:18.979 --> 01:40:23.743]  If we seek God's face, if we repent, what's that verse that's out there hanging on the wall?
[01:40:23.743 --> 01:40:28.127]  That if we seek God's face, if we repent, that He'll come and He'll heal our land.
[01:40:28.127 --> 01:40:30.289]  And we're seeing the beginnings of that.
[01:40:30.289 --> 01:40:32.811]  We've got a long way to go.
[01:40:32.811 --> 01:40:35.774]  But we really should thank God for what's happening.
[01:40:35.774 --> 01:40:44.942]  And thank God for all the gifts and the gift of consciousness and the gift of God being willing to create His own children and put them, because I've got four children.
[01:40:46.175 --> 01:40:58.280]  And you have children, and you're putting them into the world, and they're going to live, they're going to die, they're going to be in car wrecks, and they're going to get cancer, hopefully not, or heart attacks, you know, but they're going to live, and their consciousness is real, and they've got a soul.
[01:40:58.280 --> 01:41:04.422]  So you put them into the world because you want to have the children, and you want to love them, and you hope they grow up right.
[01:41:04.422 --> 01:41:08.483]  Well, that's how it is with God, but a trillion times bigger.
[01:41:08.483 --> 01:41:09.364]  Infinity bigger.
[01:41:10.444 --> 01:41:13.466]  And God loves us way more than any of us love our children.
[01:41:13.466 --> 01:41:29.454]  Imagine loving your child a thousand times that, knowing that child's potential, being omnipresent, but turning them loose in a pack of hyena-like devils, because it's what you've got to do, because they deserve consciousness.
[01:41:29.454 --> 01:41:32.936]  And God's not going to intervene, other than touching our heart.
[01:41:33.769 --> 01:41:42.838]  and giving us the blueprint, but if we reject God and we climb up on top that devil, it's going to lead us right into hell.
[01:41:42.838 --> 01:41:49.624]  And so, we should all thank God in sending His Son, Jesus Christ, as an example to us all, because that's what this is all about.
