[00:00:17.682 --> 00:00:18.102]  We did it!
[00:59:11.936 --> 00:59:26.660]  These were among the things mentioned by NFL Commissioner Rondra Goodell to increase ratings, but he failed to mention the protest of our country by some of its players, like Colin Papernack, Erika Reid, Kenny Shills, Jackie Tartt, Elizabeth Harreld, and Luz Irving.
[00:59:26.900 --> 00:59:31.461]  Who have been protesting the country during the National Anthem, which without a doubt is affecting ratings.
[00:59:31.841 --> 00:59:37.282]  Wait, the players in the league are protesting the people in the country who drive the high ratings, and the ratings are dropping?
[00:59:37.542 --> 00:59:38.002]  Shocking!
[00:59:38.242 --> 00:59:40.403]  But the PCNFL can't address this.
[00:59:40.723 --> 00:59:55.146]  Perhaps the silver lining in all of this is that people are less inclined to being obsessed with football all day long, and have been following the presidential election, as well as other local and national issues, that they see they can affect with vigilance and action, not just taking a knee.
[00:59:55.686 --> 00:59:58.187]  This is Owen Troyer from InfoWars.com.
[01:00:02.550 --> 01:00:05.311]  You're listening to the Alex Jones Show.
[01:00:13.236 --> 01:00:14.697]  We are on the march.
[01:00:15.077 --> 01:00:17.498]  The Empire is on the run.
[01:00:18.239 --> 01:00:21.961]  Alex Jones and the GCN Radio Network.
[01:00:24.011 --> 01:00:25.513]  Alex Jones here, back live.
[01:00:26.033 --> 01:00:27.495]  Bunch of special reports coming up.
[01:00:28.656 --> 01:00:29.937]  Donald Trump in the next segment.
[01:00:31.078 --> 01:00:35.162]  But, I wanted to mention this because it's so sea change.
[01:00:35.743 --> 01:00:36.383]  Unacceptable!
[01:00:36.403 --> 01:00:40.407]  Wolf Blitzer rebukes Trump for breaches in press protocol.
[01:00:41.969 --> 01:00:44.492]  He just said how horrible it is, that it's unacceptable.
[01:00:45.653 --> 01:00:46.393]  They have to fix it.
[01:00:48.547 --> 01:00:56.732]  White House Correspondents Association deeply concerned that he isn't telling them everywhere he goes and what he does so they can sycophantically run around behind him.
[01:00:57.913 --> 01:01:01.956]  This is a bunch of arrogant nobodies from bad families on average, literally.
[01:01:02.436 --> 01:01:03.316]  I don't know why it is.
[01:01:03.336 --> 01:01:04.117]  He researches these journals.
[01:01:04.137 --> 01:01:06.959]  These have horrible families, horrible people, no success.
[01:01:06.999 --> 01:01:13.203]  Just the sons and daughters of con artists, criminals, murderers, filth, trash, garbage, just you name it.
[01:01:13.763 --> 01:01:14.443]  This is true.
[01:01:14.483 --> 01:01:15.164]  They don't build anything.
[01:01:15.204 --> 01:01:17.265]  They just parasite around, butt kiss around.
[01:01:17.685 --> 01:01:19.687]  They're just saying, how dare you ignore us in D.C.
[01:01:19.727 --> 01:01:21.067]  and then fly off back to New York.
[01:01:21.287 --> 01:01:22.288]  Wonderful!
[01:01:22.468 --> 01:01:23.409]  Wonderful!
[01:01:23.889 --> 01:01:25.410]  That's how you help collapse them.
[01:01:26.070 --> 01:01:30.293]  Only Trump's glow, giving them energy, can keep these vampires alive.
[01:01:30.313 --> 01:01:32.814]  They're like, how dare you not let us suck your blood!
[01:01:34.635 --> 01:01:35.476]  He doesn't need them.
[01:01:35.496 --> 01:01:36.797]  They're not going to turn to his side.
[01:01:37.237 --> 01:01:38.618]  So this is a really juicy thing.
[01:01:38.638 --> 01:01:38.998]  Here it is.
[01:01:42.452 --> 01:01:46.335]  Going to have to get accustomed to some norms that are in place here in Washington.
[01:01:46.395 --> 01:01:59.205]  Donald Trump, we're told by an aide, left Washington earlier this afternoon, got on his plane, returned to New York City without any reporters being told that the president-elect was leaving Washington.
[01:01:59.565 --> 01:02:01.086]  I love how he's in a tower.
[01:02:19.861 --> 01:02:20.943]  It's like under siege.
[01:02:21.143 --> 01:02:21.583]  He gets it.
[01:02:22.304 --> 01:02:31.497]  Because these are the people that lied, said he could never win, said that he couldn't have the nomination, then said they could steal it, then said he didn't deserve the money he raised.
[01:02:33.626 --> 01:02:52.314]  They were wrong about everything on every front and backstabbed time and time and time and time and time again and then now we're just supposed to keep groveling because they've got a big TV station and guys in trench coats and scarves looking official when they'd sell their mother out for a stick of bubblegum.
[01:02:54.246 --> 01:02:56.227]  Ladies and gentlemen, now is the time, and you did it.
[01:02:56.267 --> 01:02:58.587]  I wanted 100 million views over election.
[01:02:59.107 --> 01:03:00.108]  We only had 90 million.
[01:03:00.868 --> 01:03:01.588]  I'll take it.
[01:03:01.988 --> 01:03:03.509]  God bless you, you did an incredible job.
[01:03:04.029 --> 01:03:05.389]  Rubbing it in their faces.
[01:03:06.269 --> 01:03:09.670]  Outside of our terrestrial radio audience, it's now 5 million a day, conservatively.
[01:03:09.910 --> 01:03:10.771]  That's very conservative.
[01:03:11.771 --> 01:03:13.531]  We can say, we're bigger than Rush Limbaugh.
[01:03:13.792 --> 01:03:16.332]  We're now the biggest broadcast transmission there is.
[01:03:16.752 --> 01:03:17.913]  Rush is the biggest website.
[01:03:18.573 --> 01:03:18.833]  Love it.
[01:03:20.196 --> 01:03:21.117]  It's not about who's the biggest.
[01:03:21.137 --> 01:03:32.443]  The point is that our message of freedom is the most popular, and that's why now if you will actually convert the listenership to supporting us, you'll see this grow just like we promised you on TV and radio and dominating and taking America back.
[01:03:32.763 --> 01:03:33.764]  We've got the beachhead now.
[01:03:33.824 --> 01:03:45.791]  If you'll support us, buy your war bonds, become a PrisonPlanet.tv member, go get the free app at InfoWars.com forward slash app, your app, and it has news feeds and audio and video feeds.
[01:03:47.048 --> 01:03:54.451]  If you sign up and get InfoWars Prime, we just launched two days ago, at InfoWars.com forward slash app, you will get what we're doing every day.
[01:03:55.012 --> 01:04:04.836]  All of our reporters, our correspondents, myself, doing live, special reports, original, produced reports, rants, special events, and more, $4.95 a month.
[01:04:05.276 --> 01:04:09.038]  It's half off right now, or $44 a year, if you want to buy the yearly membership.
[01:04:09.998 --> 01:04:16.529]  And it gets notifications, emergency notifications, available on App Store and Google Play right now, $4.95 a month.
[01:04:16.549 --> 01:04:17.070]  Infowarsstore.com.
[01:04:21.363 --> 01:04:22.683]  Has a link to it as well.
[01:04:22.824 --> 01:04:24.504]  Infowars.com forward slash app.
[01:04:24.944 --> 01:04:25.965]  This is the new media.
[01:04:26.005 --> 01:04:32.767]  This is like a new YouTube because we've already got like 15 people on there that can upload videos and original articles and content.
[01:04:33.267 --> 01:04:35.928]  We're going to start adding people like Millie Weaver, one of our great reporters.
[01:04:35.968 --> 01:04:43.031]  We're going to add other reporters that we've had here in the past and correspondents and other people that want to reach out to our audience.
[01:04:43.271 --> 01:04:44.051]  And then we're going to take
[01:04:44.531 --> 01:04:51.278]  The most powerful reports off that and put them on our Facebook, put them on our YouTube, put them on this broadcast and just magnify all of that.
[01:04:51.578 --> 01:04:55.682]  I want to get hundreds of correspondents across the country who are with an iPhone or a Droid.
[01:04:55.922 --> 01:05:03.069]  They have the power of a network that can't be censored by Google or Facebook and upload or stream live to reach the world.
[01:05:03.710 --> 01:05:05.031]  And it's got community.
[01:05:05.191 --> 01:05:06.773]  We're going to add a lot more to it.
[01:05:07.073 --> 01:05:08.094]  Check it out at InfoWars.com.
[01:05:11.010 --> 01:05:19.298]  Last night, when we were brought up by Donald Trump at the debates, it was one small step for my team and one giant leap for citizen journalism.
[01:05:19.598 --> 01:05:22.221]  Twitter, by the way, removed me then reinstated me.
[01:05:23.222 --> 01:05:24.243]  We were trending on Twitter.
[01:05:24.283 --> 01:05:26.745]  We're the number one trending video on YouTube worldwide.
[01:05:27.186 --> 01:05:29.208]  We're the number one trending thing on Facebook.
[01:05:29.368 --> 01:05:33.011]  What you are seeing is something I never thought I would say.
[01:05:33.832 --> 01:05:40.014]  You are seeing social media and the grassroots in this country more powerful than the mainstream media.
[01:05:40.414 --> 01:05:45.576]  We are the social media barbarians at the gates, and we have inundated their inboxes.
[01:05:45.856 --> 01:05:47.417]  The New York Times is now forced to cover it.
[01:05:47.437 --> 01:05:48.937]  The Washington Post was forced to cover it.
[01:05:49.337 --> 01:05:57.860]  We are the barbarians at the gates, and we have flooded the mainstream media with interest and attention, and we have become more powerful than the mainstream media.
[01:05:57.920 --> 01:05:59.181]  It's truly historical.
[01:05:59.941 --> 01:06:02.583]  I've talked about this before, but I've never actually seen it.
[01:06:02.604 --> 01:06:10.551]  I was at the debate, and I walked into the press pool, and there were 5,000 reporters, almost like a red carpet at the Oscars.
[01:06:11.031 --> 01:06:12.572]  And they all knew who I was.
[01:06:13.113 --> 01:06:14.454]  And they all knew about the story.
[01:06:14.975 --> 01:06:15.835]  And not one of them.
[01:06:16.716 --> 01:06:18.158]  Wanted to talk to me or talk about it.
[01:06:18.218 --> 01:06:20.640]  I also looked at him and I didn't know what to say.
[01:06:20.660 --> 01:06:22.822]  I said, guys, you ought to be ashamed of yourselves.
[01:06:23.543 --> 01:06:25.205]  I mean, I said, you ought to be ashamed of yourselves.
[01:06:25.325 --> 01:06:29.449]  And it was truly historical situation for Veritas.
[01:06:29.649 --> 01:06:31.371]  And I'm just so proud of my team.
[01:06:31.411 --> 01:06:37.698]  It took us a year, transcripts and filming and a year of investigative work.
[01:06:38.018 --> 01:06:39.580]  But to see these guys resign,
[01:06:39.940 --> 01:06:41.321]  I couldn't have done it without you.
[01:06:41.341 --> 01:06:43.022]  You don't realize how important you are.
[01:06:43.042 --> 01:06:44.784]  I mean, I have no words to tell you how important you are.
[01:07:00.416 --> 01:07:03.178]  You were tweeting at every single journalist.
[01:07:03.238 --> 01:07:04.739]  I mean, I've never seen anything like it.
[01:07:04.979 --> 01:07:08.642]  I had journalists come up to me and say, so you're the guy who inundated my inbox.
[01:07:08.702 --> 01:07:09.642]  I didn't even know who they were.
[01:07:10.002 --> 01:07:13.985]  You guys were sent 10,000 retweets on these tweets.
[01:07:14.425 --> 01:07:16.847]  I mean, you flooded their inboxes.
[01:07:16.887 --> 01:07:30.236]  The first video was about the conspiracy, the dark money conspiracy to induce violence at Trump rallies, where they were on tape describing how they took credit for all the violence and how that came through the chain of command from the White House.
[01:07:30.336 --> 01:07:31.176]  This is all on video.
[01:07:31.937 --> 01:07:33.417]  And nobody wanted to cover it.
[01:07:33.517 --> 01:07:36.419]  Alex has got 6 million views on YouTube, that video.
[01:07:36.959 --> 01:07:40.120]  And the second video was about how they were busting up people across state lines.
[01:07:40.601 --> 01:07:43.262]  They wanted to commit illegal voter fraud with non-citizens.
[01:07:43.662 --> 01:07:48.324]  A guy named Cesar Vargas caught on videotape describing how they bust people.
[01:07:48.444 --> 01:07:50.385]  The quotes, you can't write them.
[01:07:50.605 --> 01:07:52.426]  They look like they're from the usual suspects.
[01:07:52.766 --> 01:07:55.147]  The guy in the video says, we don't care about the law.
[01:07:55.447 --> 01:07:56.828]  We want to win this mother effer.
[01:07:57.108 --> 01:08:00.489]  Quote, we've been busting people across state lines for 50 years.
[01:08:00.890 --> 01:08:02.370]  You can't make this stuff up.
[01:08:02.871 --> 01:08:06.592]  And social media has forced the mainstream media to cover this.
[01:08:07.113 --> 01:08:07.853]  It's unbelievable.
[01:08:08.333 --> 01:08:09.734]  I've never seen anything like it.
[01:08:21.075 --> 01:08:38.423]  Donald Trump again joins us and I've got so many questions, but first off, Donald, thank you for joining us.
[01:08:38.923 --> 01:08:39.683]  Thank you, Alex.
[01:08:39.983 --> 01:08:40.243]  Great.
[01:08:40.464 --> 01:08:41.184]  Great to be with you.
[01:08:42.365 --> 01:08:53.075]  I've got so many questions, but you are vindicated, this has got to be the 50th time in the last six months, on the radical Muslims celebrating, not just in New Jersey, but New York, Palestine, all over.
[01:08:53.395 --> 01:08:54.116]  What do you have to say?
[01:08:54.136 --> 01:09:02.584]  They're still attacking you, though we've got Dan Rather on video, we've got New York Post, we've got Washington Post, we've got... I mean, what's going on here?
[01:09:03.294 --> 01:09:10.479]  Well, I took a lot of heat and I was very strong on it and I held my line and then all of a sudden, you know, hundreds of people were calling up my office.
[01:09:10.559 --> 01:09:16.282]  I was the other day in Sarasota, Florida and people are in line and we had 12,000 people, which is fantastic.
[01:09:16.822 --> 01:09:20.485]  And the people were saying, many of the people from New Jersey, four or five people said,
[01:09:20.925 --> 01:09:22.446]  Mr. Trump, I saw it myself.
